categorie,nom_contractant ,description,montant_transaction,arrondissement,numero_decision-resolution,numero_acte_notarie,
Mainlevée,Di Lillo Construction Ltée,"Approuver le projet d’acte par lequel la Ville de Montréal accorde mainlevée pure et simple de l’inscription du droit de résolution résultant de l’acte d’échange publié à la circonscription foncière de Montréal, sous le numéro 23 444 431, relativement à un immeuble situé au 12131-12139, avenue Bois-de-Boulogne, dans l’arrondissement d'Ahuntsic-Cartierville.","0,00 $",Ahuntsic - Cartierville,DA239081002,28298769,
Droit de préemption,Huynh Vinh An Nguyen,"Exercer le droit de préemption pour acquérir de monsieur Huynh Vinh An Nguyen, à des fins de logement social, l'immeuble connu et désigné comme étant le lot 2 167 333 du cadastre du Québec, situé au 7085, rue Louis-Hémon, dans l’arrondissement de Villeray–Saint-Michel–Parc-Extension, d'une superficie de 315,2 mètres carrés pour le prix de 1 530 000 $ plus les taxes applicables, le cas échéant. N/Réf. : 31H12-005-1764-06/ Mandat 22-0634-T","1 530 000,00 $",Villeray - Saint-Michel - Parc-Extension,CE230117,27904315,
Droit de préemption,Société En Nom Collectif Levac,"Exercer le droit de préemption pour acquérir de Société en nom collectif Levac, à des fins d'habitation, notamment abordable, l'immeuble connu et désigné comme étant le lot 1 885 088 du cadastre du Québec, situé au 2250, rue Plessis, dans l’arrondissement de Ville-Marie, d'une superficie de 568,4 mètres carrés pour le prix de 2 250 000 $ plus les taxes applicables, le cas échéant. N/Réf.: 31H12-005-0870-11/Mandat 22-0633-T","2 250 000,00 $",Ville-Marie,CE230118,27927928,
Acquisition par expropriation - sans bâtiment,Jonathan Jabra / Stéphanie Livernoche,"Décréter l'assujettissement à une servitude aux fins d'utilités publiques, par voie d'expropriation ou par tout autre moyen, de parties de terrain situées sur la rue de la Montagne, entre les rues Wellington et Ottawa, dans l'arrondissement Le Sud-Ouest, dans le cadre du projet d'enfouissement  des lignes aériennes d'électricité et de télécommunications. N/Réf. : 31H05-005-7871-16.",non applicable,Le Sud-Ouest,CM23 1427,non applicable,
Acquisition de gré à gré - sans bâtiment,M. Schmidt,"Approuver l'acquisition à des fins de parc régional, d'un terrain vacant d'une superficie totale de 974,9 mètres carrés, connu et désigné comme étant le lot 1 416 988 du cadastre du Québec, situé dans la ville  de Beaconsfield, pour un montant de 17 500 $, en plus des taxes applicables, le cas échéant. N/Réf.: 31H05-005-5917-01 / Mandat: 22-0622-T.","17 500,00 $",Beaconsfield,DA229245002,27930383,
Acquisition de gré à gré - sans bâtiment,Société En Commandite 6085 Sherbrooke Est,"Approuver un projet d'acte par lequel la Ville acquiert de la Société en commandite 6085 Sherbrooke Est, un immeuble vacant d’une superficie de 2 309,5 m², situé à l'angle nord-ouest des rues Sherbrooke Est et Du Quesne dans l’arrondissement de Mercier – Hochelaga - Maisonneuve, à des fins de logement social et abordable, pour la somme de 1 091 859 $, plus les taxes applicables, le cas échéant. / Accorder mainlevée pure et simple de l'hypothèque créée en faveur de la Ville de Montréal et publiée au bureau de la publicité des droits de la circonscription foncière de Montréal, le 24 novembre 2022, sous le numéro 27 711 037. N/Réf. : 31H12-005-2573-05, mandat 22-0606-T","1 091 859,00 $",Mercier - Hochelaga-Maisonneuve,CG23 0114,27963827,
Vente de gré à gré,Institut De Recherche En Biologie Végétale,"Abroger la résolution CM18 1373 / Approuver un projet de convention par lequel la Ville de Montréal consent à l'Institut de recherche en biologie végétale de Montréal un usufruit sur des parties du lot 1 882 020 du cadastre du Québec connues comme étant des parties du bâtiment administratif du Jardin botanique de Montréal, situé au 4101, rue Sherbrooke Est, et une serre du Complexe C, d'une superficie totale de 3 682,2 m², dans l'arrondissement de Rosemont - La Petite-Patrie, pour la période du 1er décembre 2018 au 10 juillet 2039, dont le prix pour la durée représente un revenu estimé à 3 731 630,01 $, excluant les taxes. Le montant de la subvention pour 2023 est de 610 973,38 $, excluant les taxes. N/Réf. : 31H12-005-2069-01 / dossier 22-0515-T","0,00 $",Rosemont - La Petite-Patrie,CM23 0714,28142829,
Prolongation de l'obligation de construire,M. Eduardo (Eddy) Santoriello,"Approuver un projet d'acte modifiant un acte de vente publié le 27 février 2020, sous le numéro 25 237 031 afin de permettre à 3390551 Canada inc. d'obtenir un délai supplémentaire de seize (16) mois pour réaliser son obligation de construire sur un terrain vacant connu comme étant le lot 5 648 261 du cadastre du Québec, situé au 12224, 4e Avenue, dans l'arrondissement de Rivière-des-Prairies–Pointe-aux-Trembles, moyennant une somme de 1821,97 $, non taxable, pour la perte de recette fiscale pour les années 2023-2024.   N/Réf.: 31H12-005-4163-09  Mandat: 22-0481-T","1 366,00 $",Rivière-des-Prairies - Pointe-aux-Trembles,CM23 0713,28123339,
Acquisition de gré à gré - avec bâtiment,Groupe Skyplex S.E.N.C.,"Approuver un projet d'acte par lequel la Ville acquiert de Groupe Skyplex s.e.n.c., un terrain d’une superficie de 403,2 m² connu et désigné comme étant le lot 1 710 356 du cadastre du Québec, avec bâtiment dessus érigé, portant le numéro civique 2350, rue Des Ormeaux, dans l’arrondissement Mercier - Hochelaga-Maisonneuve, à des fins de parc local, pour la somme de 1 000 000 $ plus les taxes applicables, le cas échéant. Autoriser l'affectation d'une somme de 550 000 $, provenant du surplus de l'arrondissement, à cette fin.","1 000 000,00 $",Mercier - Hochelaga-Maisonneuve,CA23 27 0113,28052906,
Annulation de servitude,Me Georges Tremblay / Frédéric St-Louis Arrond. Verdun,"Approuver un projet d'acte par lequel la Ville de Montréal renonce à une servitude de restriction d'utilisation publiée au bureau de la publicité des droits de la circonscription foncière de Montréal, sous le numéro 4 170 438 et affectant le lot 1 199 099 du cadastre du Québec,, localisé au 1610, rue Stephens, dans l'arrondissement de Verdun, sans considération financière. N/Réf: 31H05-005-6366-03 / Mandat 22-0407-T","0,00 $",Verdun,DA224386006,27918982,
