categorie,nom_contractant ,description,montant_transaction,arrondissement,numero_decision-resolution,numero_acte_notarie,
Acquisition de gré à gré - sans bâtiment,Prevel,"Approuver un projet d'acte de cession par lequel la Ville de Montréal acquiert de la Société en commandite Union sur le parc un terrain étant le lot 6 008 183 du cadastre du Québec, circonscription foncière de Montréal, d'une superficie de 1 316,3 m², situé au sud du boulevard René-Lévesque Ouest, côté ouest de la rue du Fort, dans l'arrondissement Ville-Marie, à des fins de parc, sans contrepartie financière.","0,00 $",Ville-Marie,CA23 240191,28215428,
Acquisition de gré à gré - sans bâtiment,Vision Max Services Immigration Inc.,"Approuver un projet d'acte de vente par lequel la Ville acquiert, à des fins de parc local, de Vision Max Services Immigration Inc., un terrain vacant d'une superficie de 730 m², connu comme étant le lot 6 297 918 du cadastre du Québec, situé dans l'arrondissement de Saint-Léonard, pour un montant de 447 700 $, plus les taxes applicables le cas échéant. N.Ref.: 31H12-005-2767-06 / Mandat 21-0103-T","447 700,00 $",Saint-Léonard,CA23 130013,27867391,
Vente de terrain résiduel et de partie de ruelle selon l'encadrement,Giusseppe Micheletti,"Approuver un projet d'acte par lequel la Ville vend, aux fins d'assemblage résidentiel, à Monsieur Giusseppe Micheletti, le lot 1 004 938, lequel est situé côté Est de l'avenue André-Laurendeau, au Sud de la rue Jarry, adjacent à l'adresse 8320, rue André-Laurendeau, dans l'arrondissement d'Anjou, d'une superficie de 17,6 m², pour le prix de 1 760,00$, plus taxes applicables.","1 760,00 $",Anjou,DA229081001,27878967,
Vente de terrain résiduel et de partie de ruelle selon l'encadrement,Jean-Francois Charky,"Approuver un projet d'acte par lequel la Ville vend, aux fins d'assemblage résidentiel, à Monsieur Jean-François Charky et Madame Isabelle Mounarath, un résidu de terrain, lequel est situé au sud de la rue Denonville entre la rue Hadley et la rue Briand, adjacent à l'adresse 2120-2128, rue Denonville, dans l'arrondissement du Sud-Ouest, d'une superficie de 70,1 m², pour le prix de 25 060,00$, plus taxes applicables le cas échéant / Fermer et retirer du domaine public le lot 6 489 694 du cadastre du Québec.","25 060,00 $",Le Sud-Ouest,DA229081002,27874201,
Vente de servitude,Compagnie Scaltest Inc.,"Approuver un projet d'acte unilatéral par lequel la Ville de Montréal, renonce à une servitude d’utilités publiques créée en sa faveur, publiée au bureau de la publicité des droits de la circonscription foncière de Montréal sous le numéro 3 513 671 et située en front sur le boulevard Perras entre la 48e et 49e Avenue, dans l'arrondissement de Rivière-Des-Prairies-Pointe-aux-Trembles, le tout sans compensation monétaire. N/Réf. : 31H12-005-4968-14, mandat 20-0482-T.","0,00 $",Rivière-des-Prairies - Pointe-aux-Trembles,DA224396005,28124128,
Acquisition de gré à gré - avec bâtiment,Société En Commandite Du 3552 St-Patrick,"Approuver un projet d'acte par lequel la Ville acquiert de La Société en commandite du 3552 St-Patrick, un terrain d’une superficie de 4632,1 m²  connu et désigné comme étant le lot 1 573 864 du cadastre du Québec, avec bâtiment dessus érigé, portant le numéro civique 3590, rue Saint-Patrick, dans l’arrondissement Le Sud-Ouest, aux fins d'agrandissement de la cour de services et d'implantation potentielle d'un écocentre, pour la somme de 2 900 000 $ plus les taxes applicables, le cas échéant. / Approuver une recette provenant d'un bail estimée à 64 819,21 $ plus les taxes applicables, pour l'année 2023.","2 900 000,00 $",Le Sud-Ouest,CM23 0428,28002110,
Transfert de ruelle,4 Propriétaires Riverains,"Adopter un règlement intitulé « Règlement modifiant le Règlement 1654 adopté par l'ancienne Ville de Montréal-Nord et abrogeant le Règlement 1653 à l'égard de la partie résiduelle de la ruelle située au nord-ouest de la rue de Charleroi entre l'avenue Pigeon et l'avenue Hénault, dans l'arrondissement de Montréal-Nord aux fins de transfert aux propriétaires riverains ». N/Réf. : 31H12-005-3260-08   N/D 20-0439-T","0,00 $",Montréal-Nord,CM23 0943,28345384,
Acquisition de gré à gré - avec bâtiment,9447-4483 Québec Inc.,"Approuver un projet d'acte par lequel la Ville acquiert de 9447-4483 Québec inc., un terrain d’une superficie de 3 155,8 m², connu et désigné comme étant le lot 1 573 829 du cadastre du Québec, avec bâtiment vacant dessus érigé portant le numéro civique 3620 rue Saint-Patrick, dans l’arrondissement Le Sud-Ouest, aux fins d'agrandissement de la cour de services et d'implantation potentielle d'un écocentre, pour la somme de 4 000 000 $, plus les taxes applicables, le cas échéant./ Approuver la renonciation par la Ville de servitudes pour l’utilisation et l’entretien d’une chaufferie.","4 000 000,00 $",Le Sud-Ouest,CM23 0431,28002108,
Acquisition de gré à gré - sans bâtiment,Arrondissement Anjou,"Approuver un projet d'acte de cession par lequel la Ville de Montréal acquiert de l'Association des propriétaires d'habitations Marie G. Lajoie inc., une rue privée dans l'arrondissement d'Anjou, à des fins de dépôt au domaine public.  Verser au registre du domaine public comme rue le lot 1 006 088 du cadastre du Québec, circonscription foncière de Montréal.","0,00 $",Anjou,DA219081002,28463197,
Acquisition de gré à gré - sans bâtiment,Association Des Propriétaires D’Habitations Marie-G. Lajoie « Secteur Nord »,"Approuver un projet d'acte de cession par lequel la Ville de Montréal acquiert de l'Association des propriétaires d'habitations Marie-G. Lajoie « Secteur Nord » inc., une rue privée dans l'arrondissement d'Anjou, à des fins de dépôt au domaine public.  Verser au registre du domaine public comme rue le lot 1 006 074 du cadastre du Québec, circonscription foncière de Montréal.","0,00 $",Anjou,DA219081001,28447156,
Transfert de ruelle,23 Propriétaires Riverains Rdp-Pat,"Adopter un règlement intitulé « Règlement sur la fermeture d’une ruelle située au nord de la 5e Avenue, entre la rue De Montigny et la rue Sainte-Catherine Est, dans l’arrondissement de Rivière-des-Prairies ― Pointe-aux-Trembles, aux fins de transfert aux propriétaires riverains ». N/Réf. : 31H12-005-4580-02 Mandat : 20-0192-T","0,00 $",Rivière-des-Prairies - Pointe-aux-Trembles,CM23 0759,28195364,
Vente de gré à gré,Hbml Bois-Franc S.E.C.,"Approuver un projet d’acte de vente par lequel la Ville vend à HBML Bois-Franc s.e.c. un terrain situé au nord du boulevard Henri-Bourassa et à l’ouest du boulevard Marcel-Laurin, d'une superficie de 277,9 mètres carrés, dans l’arrondissement Saint-Laurent, pour le montant de 235 000 $, plus les taxes applicables, le cas échéant.","235 000,00 $",Saint-Laurent,CM23 0712,28340570,
Acquisition de servitude,Hydro-Québec,"Approuver le projet d'acte modifiant l'emprise de la servitude de conservation sur des terrains vacants situés à proximité de l'avenue Armand-Chaput dans l'arrondissement de Rivière-des-Prairies - Pointe-aux-Trembles, dans le cadre d'un acte d'échange conclu avec Hydro-Québec (CM13 0220) et ce sans contrepartie monétaire.N/Réf. : 31H12-005-5478-11 / 20-0170-T","0,00 $",Rivière-des-Prairies - Pointe-aux-Trembles,CM23 0422,28059485,
Acquisition par expropriation - sans bâtiment,Corporation Immobilière Timex,"Décréter l'acquisition par voie d'expropriation ou par tout autre moyen, d'une partie du lot 1 163 364 du cadastre du Québec, située à l'intersection du boulevard Henri-Bourassa et de la rue Brabant-Marineau, dans l'arrondissement Saint-Laurent, d'une superficie de 83,2 m², pour l’aménagement d’une bretelle et l'implantation d'une piste cyclable dans le cadre du projet de réaménagement du boulevard Henri-Bourassa.",non applicable,Saint-Laurent,CG23 0408,non applicable,
Acquisition de servitude,Hydro-Québec,"Approuver un projet d'acte de servitude par lequel Hydro-Québec cède à la Ville de Montréal, une servitude d'utilités publiques à des fins de construction, de maintien, d’entretien et de réparation d’une conduite, dont l'assiette est d'une superficie de 7 266 m², située dans l'arrondissement de LaSalle, pour un montant de 221 340 $, plus les taxes applicables. N/Réf. : 31H05-005-5856-01H05-005-5856-01 / Mandat : 19-0308-T","221 341,00 $",LaSalle,CM23 0130,28019411,
Acquisition de gré à gré - sans bâtiment,"Produits Suncor Énergie, S.E.N.C.","Approuver un projet d'acte par lequel la Ville acquiert de Produits Suncor Énergie S.E.N.C., aux fins d'aménagement d'une station de chloration permanente, un terrain vacant connu et désigné comme étant le lot 6 519 860 du cadastre du Québec, d’une superficie de 161,3 m², situé sur la rue Sherbrooke Est, dans l’arrondissement de Rivière-des-Prairies – Pointe-aux-Trembles, pour la somme de 21 000 $, plus les taxes si applicables./ Ajouter au domaine public le lot 6 519 860 du cadastre du Québec, circonscription foncière de Montréal. N/Réf. : 31h12-005-4478-01, mandat 19-0270-T","21 000,00 $",Rivière-des-Prairies - Pointe-aux-Trembles,DA238290001,28446221,
Modification d'acte,Ministère Des Transports Et De La Mobilité Durable,Approuver l'entente de permission d'occupation avec le ministre des Transports et de la Mobilité durable pour une durée de 30 ans sur les lots de l'emprise non construite de l'autoroute 440 sur L'Île-Bizard dans l'arrondissement L'Île-Bizard-Sainte-Geneviève dans le cadre du plan de conservation du paysage humanisé. N/Réf:31H12-005-0119-0. Mandat 19-0113-T.,"1,00 $",L'Île-Bizard - Sainte-Geneviève,CG23 0168,9999999,
Transfert de ruelle,9 Propriétaires Riverains,"Adopter un règlement intitulé « Règlement modifiant le Règlement 1654 adopté par l'ancienne Ville de Montréal-Nord et abrogeant le Règlement 1653 à l'égard d'une partie de la ruelle située au sud-est du boulevard Henri-Bourassa Est et au sud-ouest de l’avenue Lausanne, dans l'arrondissement de Montréal-Nord aux fins de transfert aux propriétaires riverains ». N/Réf. : 31H12-005-2857-01 – Mandat : 18-0287-T.","0,00 $",Montréal-Nord,CM23 1062,28341164,
Vente par cession,Théâtre Du Nouveau-Monde,"Approuver un projet de convention par lequel la Ville consent à la Fondation du Théâtre du Nouveau Monde, un droit réel d'usufruit et la cession du droit d'accession sur une partie du lot 2 162 451 du cadastre du Québec, d'une superficie au sol de 162 m² (l' « Immeuble »), laquelle expirera au plus tard le 30 novembre 2062, le tout sans contrepartie financière./ Approuver l’engagement bilatéral par lequel Hydro-Québec s’engage à acquérir et la Ville s’engage à vendre à Hydro-Québec l’Immeuble à la fin de l’usufruit./ Retirer l'Immeuble du registre du domaine public pour des fins de voirie afin de lui conférer un usage à des fins culturelles./ Fermer et retirer du domaine public l'Immeuble. N/Réf. : 31H12-005-0370-12, mandat 18-0172-T","0,00 $",Ville-Marie,CM23 0171,27906629,
Vente de terrain résiduel et de partie de ruelle selon l'encadrement,René Ducharme,"Approuver un projet d'acte de vente par lequel la Ville vend, aux fins d'assemblage résidentiel, à monsieur René Ducharme, un terrain résiduel connu et désigné comme étant le lot 6 390 190 du cadastre du Québec, situé du côté sud de la rue Sainte-Catherine Est entre les rues Atateken et Wolfe, dans l'arrondissement de Ville-Marie, d'une superficie de 71,5 m², pour le prix de 41 510,00 $, plus les taxes applicables N/Réf. : 31H12-005-0671-06 / Mandat 18-0152-T","41 510,00 $",Ville-Marie,DA234396006,28317705,
Vente de terrain résiduel et de partie de ruelle selon l'encadrement,9358-0207 Québec Inc.,"Approuver un projet d'acte de vente par lequel la Ville vend, aux fins d'assemblage résidentiel, à 9358-0207 Québec inc., un terrain résiduel connu et désigné comme étant le lot 6 390 191 du cadastre du Québec, située du côté sud de la rue Sainte-Catherine entre les rues Ahmerst et Wolfe, dans l'arrondissement de Ville-Marie, d'une superficie de 69,1 m², pour le prix de 31 970,00 $, plus les taxes applicables. N/Réf. : 31H12-005-0671-06 / Mandat 18-0151-T.","28 630,00 $",Ville-Marie,DA234396002,28317706,
Vente de terrain résiduel et de partie de ruelle selon l'encadrement,Xiaoyang Zhang,"Approuver un projet d'acte de vente par lequel la Ville vend, aux fins d'assemblage résidentiel, à madame Xiaoyang Zhang, un terrain résiduel connu et désigné comme étant le lot 6 390 189 du cadastre du Québec, situé du côté sud de la rue Sainte-Catherine Est entre les rues Atateken et Wolfe, dans l'arrondissement de Ville-Marie, d'une superficie de 52,2 m², pour le prix de 30 400 $, plus les taxes applicables N/Réf. : 31H12-005-0671-06 / Mandat 18-0150-T","30 400,00 $",Ville-Marie,DA234396005,28317707,
Transfert de ruelle,28 Propriétaires Riverains,"Adopter un règlement intitulé « Règlement sur la fermeture d'une ruelle située au Nord de la 31e Avenue entre la rue René-Lévesque et la rue de Gauchetière, dans l'arrondissement Rivière-des-Prairies-Pointe-aux-Trembles, aux fins de transfert aux propriétaires riverains ». N/Réf. : 31H11-005-5101  N/D: 18-0052-T","1,00 $",Rivière-des-Prairies - Pointe-aux-Trembles,CM23 1060,28429582,
Transfert de ruelle,Mireille Lussier Et Daniel Chouinard,"Adopter un règlement intitulé « Règlement sur la fermeture d'une ruelle située à l'ouest de la 70e Avenue et au nord du boulevard Perras, dans l'arrondissement de Rivière-des-Prairies - Pointes-aux-Trembles, aux fins de transfert aux propriétaires riverains ». N/Réf: 31H12-005-5271-07 Mandat : 18-0011-T","0,00 $",Rivière-des-Prairies - Pointe-aux-Trembles,CM23 0303,28210665,
Vente de gré à gré,Acier St-Denis,"Approuver le projet d'acte par lequel la Ville vend, à Saint-Denis Ornemental inc., un immeuble situé dans le prolongement sud de l'avenue de Bruxelles au sud du boulevard Industriel, dans l'arrondissement de Montréal-Nord, connu et désigné comme étant les lots 1 175 088, 1 175 093, 1 175 089 et partie du lot 1 413 156 du cadastre du Québec, pour un montant de 105 400 $, plus les taxes applicables. Fermer et retirer ces lots du domaine public. N/Réf. : 31H12-005-2659-02.","105 400,00 $",Montréal-Nord,DA237723001,27910010,
Acquisition de servitude,Grilli,"Approuver un projet d'acte par lequel la Ville acquiert, de gré à gré, de Développement immobilier Grilli inc., deux terrains vacants d'une superficie totale de 8 115,9 mètres carrés, pour les fins de construction d'une piste cyclable, lesquels sont connus et désignés comme étant les lots 1 559 479 et le 1 559 480, situés sur le territoire de la municipalité de Sainte-Anne-de-Bellevue, pour un montant de 150 000 $, plus les taxes applicables. N/Réf:31H05-005-6115-01. Mandat 17-0442-T","150 000,00 $",Sainte-Anne-de-Bellevue,CG23 0488,28340794,
Transfert de ruelle,5 Propriétaires Riverains Rdp-Pat,"Adopter un règlement intitulé « Règlement sur la fermeture d'une ruelle située au nord de la 82e Avenue entre la rue Notre-Dame Est et la propriété de la Compagnie des chemins de fer nationaux du Canada, dans l'arrondissement de Rivière-des-Prairies - Pointe-aux-Trembles, aux fins de transfert aux propriétaires riverains ». N/Réf. : 31H11-005-6102-03  N/D: 17-0230","0,00 $",Rivière-des-Prairies - Pointe-aux-Trembles,CM23 1298,28464016,
Transfert de ruelle,"21 Propriétaires Riverains, Arrond. Rdp-Pat","Adopter un règlement intitulé « Règlement sur la fermeture d'une ruelle située au nord de la 6e Avenue, entre la rue De Montigny et la rue Sainte-Catherine Est, dans l'arrondissement de Rivière-des-Prairies - Pointe-aux-Trembles, aux fins de transfert aux propriétaires riverains ». N/Réf.: 31H12-005-4580-01  Mandat: 16-0404-T","0,00 $",Rivière-des-Prairies - Pointe-aux-Trembles,CM23 0302,28213826,
Transfert de ruelle,Propriétaires Riverains,"Adopter un règlement intitulé « Règlement sur la fermeture d'une ruelle située au sud-est de la rue Sherbrooke Est entre l’avenue Haig et la rue Arcand, dans l'arrondissement de Mercier – Hochelaga-Maisonneuve aux fins de transfert aux propriétaires riverains ». N/Réf. : 31H12-005-2874-03 Mandat : 16-0384-T","0,00 $",Mercier - Hochelaga-Maisonneuve,CM23 1066,28347221,
Acquisition de servitude,Développements Cp Fpi Ppl Québec Ltée,"Approuver un projet d'acte par lequel DÉVELOPPEMENTS CP FPI PPL QUÉBEC LTÉE / CP REIT PPL QUÉBEC DEVELOPMENTS LTD. accorde à la Ville de Montréal, une servitude pour fins d'utilités publiques, dont l'assiette est composée d'une partie du lot 2 887 894 du cadastre du Québec, située au nord-est de la rue Gilberte-Dubé, entre la rue Wellington et le boulevard Gaétan-Laberge, dans l'arrondissement de Verdun, et ce, sans contrepartie financière. N/Réf. : 31H05-005-7170-01 / Mandat : 15-0231-T.","0,00 $",Verdun,DA208703001,28155679,
Transfert de ruelle,20 Propriétaires Riverains,"Adopter un règlement intitulé « Règlement sur la fermeture d'une ruelle située à l'ouest de la rue Victoria entre la 50e Avenue et la 51e Avenue, dans l'arrondissement de Rivière-des-Prairies-Pointe-aux-Trembles, aux fins de transfert aux propriétaires riverains ». N/Réf. : 31H11-005-5501-05  N/D: 12-0418-T.","0,00 $",Rivière-des-Prairies - Pointe-aux-Trembles,CM23 0452,28104499,
Transfert de ruelle,3 Propriétaires Riverains,"Adopter un règlement intitulé « Règlement modifiant les Règlements 1654 et 1681 adoptés par l'ancienne Ville de Montréal-Nord et abrogeant le Règlement 1653 à l'égard de la partie résiduelle de la ruelle située au sud-est du boulevard Gouin Est entre l'avenue Éthier et l'avenue Bellevois, dans l'arrondissement de Montréal-Nord aux fins de transfert aux propriétaires riverains ». N/Réf. : 31H12-005-3458-02   Mandat 12-0415-T","0,00 $",Montréal-Nord,CM23 0946,28337189,
Transfert de ruelle,Propriétaires Riverains,"Adopter un règlement intitulé « Règlement sur la fermeture d'une ruelle située à l'est de la 12e Avenue entre la rue Saint-Georges et la rue Sherbrooke, dans l'arrondissement de Lachine,  aux fins de transfert aux propriétaires riverains ».  N/Réf. : 31H05-005-6353-19  Mandat : 12-0383-T","0,00 $",Lachine,CM23 1063,28386465,
